Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Duration_Days,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
24/04/2015,יפן,אסיה,שריפת יער,סכנה קיצונית,24970,43,קריסת מערכות מוחלטת,76,16892,23,קריטית,כן
27/07/2004,קנדה,צפון אמריקה,שיטפון,מפלס מים 2.5 מטר,2257,17,הרס נרחב,25,45391,728,גבוהה,לא
18/02/2011,איטליה,אירופה,הוריקן,דרגה 3,5175,13,קריסת מערכות מוחלטת,10,5157,1113,קריטית,כן
21/10/2020,איטליה,אירופה,שיטפון,מפלס מים 3.6 מטר,1375,9,הרס נרחב,101,1202,1119,גבוהה,כן
14/06/2016,הודו,אסיה,צונאמי,גלים בגובה 3 מטר,100,3,קריסת מערכות מוחלטת,249,32301,1048,קריטית,כן
04/01/2013,איטליה,אירופה,צונאמי,גלים בגובה 11 מטר,171,3,הרס נרחב,281,25659,344,קריטית,כן
27/06/2002,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,20124,15,נזק קל בלבד,285,34862,800,קריטית,כן
06/02/2000,טורקיה,אירופה,רעידת אדמה,7.7 ריכטר,688,2,הרס נרחב,111,39755,1653,קריטית,כן
05/03/2014,יפן,אסיה,רעידת אדמה,6.1 ריכטר,260,1,הרס נרחב,156,23491,542,קריטית,כן
06/09/2010,קנדה,צפון אמריקה,צונאמי,גלים בגובה 12 מטר,84,2,קריסת מערכות מוחלטת,152,3732,146,קריטית,כן
23/12/2000,קנדה,צפון אמריקה,צונאמי,גלים בגובה 11 מטר,83,2,נזק חלקי לתשתיות,176,22613,1471,קריטית,כן
19/07/2002,"ארה""ב",צפון אמריקה,רעידת אדמה,5.5 ריכטר,682,4,נזק קל בלבד,100,17671,1993,קריטית,כן
25/12/2019,קנדה,צפון אמריקה,הוריקן,דרגה 1,10289,8,נזק קל בלבד,63,32481,182,גבוהה,לא
27/06/2005,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,22392,6,נזק חלקי לתשתיות,197,12698,1606,קריטית,כן
03/06/2011,צ'ילה,דרום אמריקה,רעידת אדמה,5.7 ריכטר,162,1,קריסת מערכות מוחלטת,240,122,1439,קריטית,כן
27/09/2023,טורקיה,אירופה,רעידת אדמה,7.9 ריכטר,585,4,קריסת מערכות מוחלטת,199,14289,1807,קריטית,כן
03/09/2000,אוסטרליה,אוקיאניה,רעידת אדמה,7.5 ריכטר,244,4,הרס נרחב,45,28038,1476,קריטית,כן
18/10/2008,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,3169,47,נזק קל בלבד,268,29907,1093,קריטית,כן
26/11/2015,מקסיקו,צפון אמריקה,רעידת אדמה,6.5 ריכטר,603,2,קריסת מערכות מוחלטת,276,47913,233,קריטית,כן
05/01/2025,אוסטרליה,אוקיאניה,רעידת אדמה,6.6 ריכטר,459,1,נזק קל בלבד,142,42418,1516,קריטית,כן
15/09/2017,טורקיה,אירופה,רעידת אדמה,7.4 ריכטר,461,4,קריסת מערכות מוחלטת,229,32101,1815,קריטית,כן
08/10/2024,איטליה,אירופה,שריפת יער,סכנה קיצונית,19230,13,הרס נרחב,77,27088,727,גבוהה,כן
17/11/2007,הודו,אסיה,הוריקן,דרגה 1,2836,5,נזק חלקי לתשתיות,82,24109,334,גבוהה,כן
23/05/2019,יפן,אסיה,הוריקן,דרגה 3,7548,4,נזק חלקי לתשתיות,280,42262,106,קריטית,כן
19/10/2013,אוסטרליה,אוקיאניה,רעידת אדמה,6.4 ריכטר,794,1,קריסת מערכות מוחלטת,81,18112,1431,קריטית,כן
19/11/2018,אינדונזיה,אסיה,רעידת אדמה,8.4 ריכטר,658,2,נזק חלקי לתשתיות,267,31212,1203,קריטית,כן
03/10/2001,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 9 מטר,82,3,הרס נרחב,271,251,90,קריטית,כן
07/09/2001,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 9 מטר,173,1,נזק חלקי לתשתיות,259,17629,222,קריטית,כן
16/12/2015,"ארה""ב",צפון אמריקה,רעידת אדמה,7.2 ריכטר,410,3,נזק חלקי לתשתיות,197,10425,940,קריטית,כן
05/07/2004,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 3.2 מטר,1397,21,קריסת מערכות מוחלטת,92,996,1141,קריטית,כן
14/01/2013,אינדונזיה,אסיה,צונאמי,גלים בגובה 10 מטר,282,1,קריסת מערכות מוחלטת,150,2690,279,קריטית,כן
18/04/2006,טורקיה,אירופה,שריפת יער,סכנה קיצונית,24166,57,הרס נרחב,163,14447,952,קריטית,כן
22/01/2000,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,1839,25,הרס נרחב,49,22665,1003,גבוהה,כן
23/12/2016,הודו,אסיה,צונאמי,גלים בגובה 9 מטר,58,2,נזק חלקי לתשתיות,252,40253,177,קריטית,כן
21/11/2006,הודו,אסיה,הוריקן,דרגה 4,14999,12,קריסת מערכות מוחלטת,23,5447,728,קריטית,כן
13/11/2015,טורקיה,אירופה,הוריקן,דרגה 5,6606,7,נזק חלקי לתשתיות,192,32031,1252,קריטית,כן
12/03/2022,אינדונזיה,אסיה,רעידת אדמה,7.6 ריכטר,225,2,הרס נרחב,22,24307,1670,קריטית,כן
27/04/2004,איטליה,אירופה,הוריקן,דרגה 4,2335,5,הרס נרחב,87,6265,1490,קריטית,כן
21/10/2023,מקסיקו,צפון אמריקה,רעידת אדמה,8.2 ריכטר,94,2,נזק חלקי לתשתיות,159,13150,353,קריטית,כן
16/06/2023,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 4 מטר,244,2,הרס נרחב,225,38290,1870,קריטית,כן
04/12/2014,יפן,אסיה,שיטפון,מפלס מים 4.0 מטר,2453,19,נזק חלקי לתשתיות,88,45919,569,גבוהה,לא
26/10/2007,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 12 מטר,44,3,קריסת מערכות מוחלטת,75,42428,502,קריטית,כן
16/11/2016,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 0.9 מטר,1737,20,הרס נרחב,96,33379,662,גבוהה,לא
10/11/2012,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,11020,57,נזק קל בלבד,68,30935,1272,קריטית,כן
06/07/2002,הודו,אסיה,הוריקן,דרגה 5,11082,3,נזק קל בלבד,51,9975,1963,קריטית,כן
28/04/2020,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,21704,54,הרס נרחב,283,30078,128,קריטית,כן
30/11/2014,קנדה,צפון אמריקה,צונאמי,גלים בגובה 12 מטר,115,2,נזק קל בלבד,204,48401,220,קריטית,כן
22/10/2016,טורקיה,אירופה,שיטפון,מפלס מים 3.7 מטר,1155,8,נזק קל בלבד,164,25907,1876,קריטית,כן
13/03/2017,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,7115,3,קריסת מערכות מוחלטת,114,44078,1664,קריטית,כן
23/06/2025,הודו,אסיה,שיטפון,מפלס מים 0.7 מטר,896,15,נזק חלקי לתשתיות,93,10267,1323,קריטית,כן
01/07/2017,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 15 מטר,147,3,נזק קל בלבד,247,16132,17,קריטית,כן
08/01/2015,איטליה,אירופה,שריפת יער,סכנה קיצונית,15487,18,נזק קל בלבד,249,37599,98,קריטית,כן
01/03/2012,יפן,אסיה,צונאמי,גלים בגובה 3 מטר,157,2,נזק חלקי לתשתיות,143,46854,150,גבוהה,כן
19/04/2024,איטליה,אירופה,צונאמי,גלים בגובה 13 מטר,261,2,נזק חלקי לתשתיות,203,49246,857,קריטית,כן
10/01/2017,מקסיקו,צפון אמריקה,רעידת אדמה,5.9 ריכטר,799,2,הרס נרחב,208,32286,827,קריטית,כן
06/02/2007,צ'ילה,דרום אמריקה,רעידת אדמה,6.2 ריכטר,461,1,קריסת מערכות מוחלטת,287,37499,424,קריטית,כן
28/01/2004,אינדונזיה,אסיה,הוריקן,דרגה 4,7616,3,הרס נרחב,211,15209,806,קריטית,כן
07/12/2001,הודו,אסיה,הוריקן,דרגה 3,14336,7,נזק חלקי לתשתיות,259,12713,752,קריטית,כן
18/08/2003,טורקיה,אירופה,הוריקן,דרגה 4,8307,8,הרס נרחב,295,1116,1075,קריטית,כן
17/07/2015,אינדונזיה,אסיה,צונאמי,גלים בגובה 11 מטר,91,3,נזק קל בלבד,155,27064,531,קריטית,כן
15/03/2004,הודו,אסיה,שיטפון,מפלס מים 1.6 מטר,2565,16,הרס נרחב,124,12107,63,גבוהה,לא
18/11/2024,אינדונזיה,אסיה,צונאמי,גלים בגובה 4 מטר,54,1,הרס נרחב,230,37991,429,קריטית,כן
01/05/2023,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 4 מטר,84,3,נזק חלקי לתשתיות,104,20697,1389,קריטית,כן
20/08/2023,הודו,אסיה,שיטפון,מפלס מים 1.8 מטר,1607,26,קריסת מערכות מוחלטת,180,24534,1247,קריטית,כן
11/01/2015,קנדה,צפון אמריקה,שיטפון,מפלס מים 2.4 מטר,375,19,הרס נרחב,206,18746,1090,קריטית,כן
04/12/2003,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 3.0 מטר,2975,6,נזק קל בלבד,66,3935,1680,קריטית,כן
29/12/2018,"ארה""ב",צפון אמריקה,רעידת אדמה,6.5 ריכטר,473,4,נזק חלקי לתשתיות,267,5069,1884,קריטית,כן
02/09/2023,"ארה""ב",צפון אמריקה,הוריקן,דרגה 3,14544,9,קריסת מערכות מוחלטת,288,42279,1154,קריטית,כן
05/07/2016,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,13396,12,נזק חלקי לתשתיות,300,13155,1330,קריטית,כן
23/01/2025,איטליה,אירופה,צונאמי,גלים בגובה 10 מטר,71,3,הרס נרחב,228,46512,1910,קריטית,כן
16/07/2006,טורקיה,אירופה,צונאמי,גלים בגובה 5 מטר,226,3,קריסת מערכות מוחלטת,95,4631,1872,קריטית,כן
10/08/2007,קנדה,צפון אמריקה,צונאמי,גלים בגובה 2 מטר,114,2,קריסת מערכות מוחלטת,46,31289,167,קריטית,כן
28/01/2021,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 11 מטר,25,3,הרס נרחב,27,31375,994,גבוהה,כן
15/03/2026,איטליה,אירופה,שריפת יער,סכנה קיצונית,15910,54,הרס נרחב,9,33128,425,גבוהה,כן
15/09/2025,איטליה,אירופה,צונאמי,גלים בגובה 10 מטר,124,3,קריסת מערכות מוחלטת,59,31234,703,קריטית,כן
05/09/2018,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 0.9 מטר,973,18,נזק קל בלבד,118,28813,1928,קריטית,כן
25/09/2020,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,14324,12,קריסת מערכות מוחלטת,117,41054,872,קריטית,כן
13/05/2020,קנדה,צפון אמריקה,רעידת אדמה,8.2 ריכטר,462,3,קריסת מערכות מוחלטת,229,581,131,קריטית,כן
11/06/2004,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,11895,14,הרס נרחב,41,23800,1820,קריטית,כן
14/10/2014,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,12179,9,נזק חלקי לתשתיות,268,29465,402,קריטית,כן
26/01/2002,איטליה,אירופה,הוריקן,דרגה 3,2137,6,קריסת מערכות מוחלטת,80,12451,1636,קריטית,כן
21/04/2019,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 1.7 מטר,1245,9,נזק חלקי לתשתיות,153,3828,1271,קריטית,כן
09/11/2018,אינדונזיה,אסיה,שיטפון,מפלס מים 3.4 מטר,1190,16,הרס נרחב,24,27977,822,גבוהה,לא
17/07/2023,טורקיה,אירופה,שיטפון,מפלס מים 1.3 מטר,1370,26,נזק חלקי לתשתיות,166,542,1072,קריטית,כן
13/04/2020,טורקיה,אירופה,שיטפון,מפלס מים 3.7 מטר,247,18,נזק קל בלבד,33,12974,1257,קריטית,כן
20/09/2008,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,12092,12,נזק קל בלבד,284,18109,1518,קריטית,כן
14/02/2003,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,15783,35,קריסת מערכות מוחלטת,124,34410,842,קריטית,כן
15/09/2010,הודו,אסיה,שיטפון,מפלס מים 3.7 מטר,573,7,הרס נרחב,246,48050,375,קריטית,כן
20/07/2008,הודו,אסיה,רעידת אדמה,7.6 ריכטר,606,4,הרס נרחב,45,34634,1191,גבוהה,כן
31/05/2023,הודו,אסיה,הוריקן,דרגה 3,5880,11,נזק חלקי לתשתיות,58,37880,331,גבוהה,כן
22/05/2013,איטליה,אירופה,צונאמי,גלים בגובה 5 מטר,120,3,נזק חלקי לתשתיות,131,28403,1991,קריטית,כן
22/08/2007,יפן,אסיה,הוריקן,דרגה 1,7386,2,נזק קל בלבד,51,39049,1603,קריטית,כן
22/10/2003,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,15347,45,נזק חלקי לתשתיות,221,37469,1508,קריטית,כן
20/06/2000,טורקיה,אירופה,רעידת אדמה,8.2 ריכטר,536,4,נזק קל בלבד,16,37965,1868,קריטית,כן
06/02/2001,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,23180,45,הרס נרחב,176,35594,10,קריטית,כן
05/09/2007,קנדה,צפון אמריקה,שיטפון,מפלס מים 3.7 מטר,1716,19,נזק קל בלבד,70,44269,790,גבוהה,כן
28/09/2010,אינדונזיה,אסיה,צונאמי,גלים בגובה 6 מטר,129,3,קריסת מערכות מוחלטת,82,22126,345,קריטית,כן
06/09/2015,הודו,אסיה,הוריקן,דרגה 3,4518,10,הרס נרחב,60,49004,1210,קריטית,כן
18/03/2021,אינדונזיה,אסיה,הוריקן,דרגה 2,6519,14,נזק חלקי לתשתיות,184,45040,1516,קריטית,כן
30/12/2009,טורקיה,אירופה,שריפת יער,סכנה קיצונית,19421,59,קריסת מערכות מוחלטת,80,4513,103,קריטית,כן
24/02/2004,קנדה,צפון אמריקה,הוריקן,דרגה 1,5321,4,קריסת מערכות מוחלטת,21,3664,508,קריטית,כן
02/01/2022,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 0.5 מטר,1002,25,הרס נרחב,78,47341,1925,קריטית,כן
13/09/2023,קנדה,צפון אמריקה,רעידת אדמה,7.1 ריכטר,377,3,נזק קל בלבד,238,42583,507,קריטית,כן
13/11/2016,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,5199,35,הרס נרחב,139,383,1463,קריטית,כן
06/01/2016,אוסטרליה,אוקיאניה,רעידת אדמה,8.2 ריכטר,524,4,קריסת מערכות מוחלטת,186,1322,1014,קריטית,כן
29/12/2021,יפן,אסיה,צונאמי,גלים בגובה 7 מטר,151,3,נזק חלקי לתשתיות,216,44244,128,קריטית,כן
02/02/2008,איטליה,אירופה,צונאמי,גלים בגובה 10 מטר,137,1,נזק חלקי לתשתיות,158,43694,331,קריטית,כן
09/06/2003,מקסיקו,צפון אמריקה,רעידת אדמה,7.0 ריכטר,570,1,נזק קל בלבד,98,2676,1887,קריטית,כן
03/02/2025,איטליה,אירופה,שיטפון,מפלס מים 2.3 מטר,2454,28,הרס נרחב,162,20287,1058,קריטית,כן
05/05/2010,טורקיה,אירופה,שיטפון,מפלס מים 1.1 מטר,2521,22,קריסת מערכות מוחלטת,201,49914,1868,קריטית,כן
26/12/2012,"ארה""ב",צפון אמריקה,רעידת אדמה,5.3 ריכטר,651,2,הרס נרחב,224,43944,652,קריטית,כן
26/02/2012,איטליה,אירופה,שריפת יער,סכנה קיצונית,11460,5,קריסת מערכות מוחלטת,55,25569,1967,קריטית,כן
20/12/2002,הודו,אסיה,שריפת יער,סכנה קיצונית,17720,21,קריסת מערכות מוחלטת,202,16791,268,קריטית,כן
15/02/2024,אינדונזיה,אסיה,שיטפון,מפלס מים 3.9 מטר,526,7,הרס נרחב,158,31572,1625,קריטית,כן
29/12/2007,אינדונזיה,אסיה,הוריקן,דרגה 4,11488,13,נזק חלקי לתשתיות,135,32417,686,גבוהה,לא
04/05/2000,קנדה,צפון אמריקה,הוריקן,דרגה 3,12655,8,נזק חלקי לתשתיות,185,726,711,קריטית,כן
29/04/2006,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,2564,14,נזק חלקי לתשתיות,280,26670,1513,קריטית,כן
26/03/2003,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,14613,6,נזק חלקי לתשתיות,11,2399,1946,קריטית,כן
15/10/2019,איטליה,אירופה,רעידת אדמה,8.4 ריכטר,281,2,נזק חלקי לתשתיות,160,499,646,קריטית,כן
21/03/2018,הודו,אסיה,צונאמי,גלים בגובה 14 מטר,203,1,נזק קל בלבד,67,49368,114,גבוהה,לא
23/04/2021,טורקיה,אירופה,הוריקן,דרגה 5,12091,8,נזק חלקי לתשתיות,189,46460,775,קריטית,כן
01/04/2011,קנדה,צפון אמריקה,צונאמי,גלים בגובה 3 מטר,32,3,קריסת מערכות מוחלטת,268,36264,1468,קריטית,כן
13/11/2012,טורקיה,אירופה,צונאמי,גלים בגובה 10 מטר,160,1,נזק קל בלבד,259,44642,1103,קריטית,כן
30/12/2002,איטליה,אירופה,רעידת אדמה,8.2 ריכטר,335,3,נזק חלקי לתשתיות,76,3696,190,גבוהה,כן
02/02/2008,אינדונזיה,אסיה,הוריקן,דרגה 1,13148,14,נזק חלקי לתשתיות,183,43687,1005,קריטית,כן
02/03/2017,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,13058,8,נזק קל בלבד,227,7881,1924,קריטית,כן
21/12/2019,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 2.0 מטר,2026,11,נזק חלקי לתשתיות,125,31986,1224,קריטית,כן
25/08/2001,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,8759,58,נזק חלקי לתשתיות,257,5438,1239,קריטית,כן
13/12/2020,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 3 מטר,43,2,הרס נרחב,129,32302,1647,קריטית,כן
21/03/2011,הודו,אסיה,רעידת אדמה,5.8 ריכטר,592,3,נזק קל בלבד,163,14863,50,קריטית,כן
21/08/2019,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 0.9 מטר,889,28,נזק קל בלבד,103,7850,968,גבוהה,כן
12/04/2007,אינדונזיה,אסיה,צונאמי,גלים בגובה 10 מטר,261,2,נזק קל בלבד,161,6942,511,קריטית,כן
13/05/2022,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 9 מטר,110,3,נזק קל בלבד,99,3853,1799,קריטית,כן
04/01/2002,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 13 מטר,230,2,נזק חלקי לתשתיות,234,31868,1194,קריטית,כן
18/02/2025,אוסטרליה,אוקיאניה,רעידת אדמה,5.1 ריכטר,85,3,נזק חלקי לתשתיות,12,31924,44,בינונית,לא
28/02/2011,אוסטרליה,אוקיאניה,רעידת אדמה,5.4 ריכטר,727,2,הרס נרחב,27,47454,309,גבוהה,לא
10/01/2022,איטליה,אירופה,שיטפון,מפלס מים 2.6 מטר,1529,26,נזק חלקי לתשתיות,117,46010,743,גבוהה,לא
25/01/2022,אינדונזיה,אסיה,הוריקן,דרגה 1,2703,8,הרס נרחב,39,46761,1573,קריטית,כן
22/06/2013,אינדונזיה,אסיה,שיטפון,מפלס מים 1.8 מטר,1005,30,נזק קל בלבד,212,44186,437,קריטית,כן
10/11/2020,קנדה,צפון אמריקה,הוריקן,דרגה 4,8834,9,נזק קל בלבד,107,685,397,גבוהה,כן
03/03/2005,אינדונזיה,אסיה,שיטפון,מפלס מים 1.7 מטר,1381,3,קריסת מערכות מוחלטת,283,27817,452,קריטית,כן
12/02/2010,קנדה,צפון אמריקה,שיטפון,מפלס מים 4.0 מטר,2151,17,נזק קל בלבד,236,25894,630,קריטית,כן
14/08/2013,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,17080,19,קריסת מערכות מוחלטת,221,7672,1088,קריטית,כן
25/08/2011,אינדונזיה,אסיה,רעידת אדמה,5.1 ריכטר,719,4,קריסת מערכות מוחלטת,91,10159,259,קריטית,כן
20/05/2021,קנדה,צפון אמריקה,צונאמי,גלים בגובה 11 מטר,220,3,קריסת מערכות מוחלטת,232,19570,585,קריטית,כן
14/11/2011,יפן,אסיה,שריפת יער,סכנה קיצונית,9104,17,הרס נרחב,261,33057,1634,קריטית,כן
27/12/2022,מקסיקו,צפון אמריקה,רעידת אדמה,7.3 ריכטר,304,3,נזק קל בלבד,43,13286,831,גבוהה,כן
04/08/2010,הודו,אסיה,שיטפון,מפלס מים 0.9 מטר,1199,21,נזק קל בלבד,43,15318,1372,קריטית,כן
11/11/2001,איטליה,אירופה,שיטפון,מפלס מים 2.5 מטר,1437,13,נזק חלקי לתשתיות,162,15487,1463,קריטית,כן
04/12/2025,מקסיקו,צפון אמריקה,רעידת אדמה,5.9 ריכטר,314,1,נזק קל בלבד,211,12743,104,קריטית,כן
08/01/2023,אינדונזיה,אסיה,צונאמי,גלים בגובה 8 מטר,194,3,נזק קל בלבד,188,16974,506,קריטית,כן
24/05/2011,אינדונזיה,אסיה,שיטפון,מפלס מים 1.4 מטר,1952,14,נזק קל בלבד,243,17778,578,קריטית,כן
09/02/2021,קנדה,צפון אמריקה,הוריקן,דרגה 5,9330,4,קריסת מערכות מוחלטת,79,42704,1477,קריטית,כן
20/06/2023,הודו,אסיה,שריפת יער,סכנה קיצונית,9212,13,נזק חלקי לתשתיות,62,43940,876,גבוהה,כן
19/11/2018,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 0.6 מטר,693,23,הרס נרחב,53,20769,510,גבוהה,כן
11/10/2014,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 11 מטר,200,1,הרס נרחב,69,44930,87,גבוהה,כן
11/10/2022,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 2.2 מטר,2114,19,נזק חלקי לתשתיות,300,44232,675,קריטית,כן
23/05/2018,קנדה,צפון אמריקה,צונאמי,גלים בגובה 8 מטר,238,1,הרס נרחב,183,39480,1713,קריטית,כן
04/09/2017,"ארה""ב",צפון אמריקה,רעידת אדמה,5.9 ריכטר,610,3,הרס נרחב,193,39645,844,קריטית,כן
18/01/2000,קנדה,צפון אמריקה,שיטפון,מפלס מים 3.2 מטר,1969,9,הרס נרחב,52,33656,263,גבוהה,לא
26/10/2010,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 3.8 מטר,948,19,נזק חלקי לתשתיות,68,12794,1882,קריטית,כן
01/07/2011,קנדה,צפון אמריקה,צונאמי,גלים בגובה 10 מטר,234,2,הרס נרחב,251,18871,577,קריטית,כן
11/08/2010,יפן,אסיה,צונאמי,גלים בגובה 12 מטר,68,1,הרס נרחב,143,34005,286,גבוהה,לא
21/03/2000,הודו,אסיה,רעידת אדמה,6.2 ריכטר,351,3,נזק חלקי לתשתיות,149,45435,1277,קריטית,כן
20/10/2007,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,13813,3,נזק חלקי לתשתיות,98,45996,516,גבוהה,כן
30/09/2014,הודו,אסיה,הוריקן,דרגה 3,11104,12,קריסת מערכות מוחלטת,250,10461,1500,קריטית,כן
06/02/2018,הודו,אסיה,שריפת יער,סכנה קיצונית,10642,29,נזק חלקי לתשתיות,299,22118,900,קריטית,כן
21/06/2024,יפן,אסיה,שריפת יער,סכנה קיצונית,7822,29,נזק חלקי לתשתיות,127,19708,198,גבוהה,כן
02/05/2014,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,2172,60,קריסת מערכות מוחלטת,187,27983,138,קריטית,כן
18/08/2022,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 2.6 מטר,1325,11,נזק קל בלבד,16,10438,1651,קריטית,כן
21/01/2010,יפן,אסיה,שריפת יער,סכנה קיצונית,10748,31,קריסת מערכות מוחלטת,4,20813,1035,קריטית,כן
24/06/2009,יפן,אסיה,הוריקן,דרגה 3,5469,5,הרס נרחב,172,7805,984,קריטית,כן
08/10/2016,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 4 מטר,131,3,הרס נרחב,293,43905,224,קריטית,כן
17/02/2026,אינדונזיה,אסיה,הוריקן,דרגה 2,14123,13,הרס נרחב,206,31990,200,קריטית,כן
10/12/2021,איטליה,אירופה,רעידת אדמה,8.4 ריכטר,332,2,הרס נרחב,133,41602,154,גבוהה,לא
29/07/2001,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,8185,5,קריסת מערכות מוחלטת,97,25149,563,קריטית,כן
10/02/2020,איטליה,אירופה,שריפת יער,סכנה קיצונית,17211,29,קריסת מערכות מוחלטת,38,49791,900,קריטית,כן
06/02/2007,איטליה,אירופה,רעידת אדמה,8.3 ריכטר,777,4,נזק חלקי לתשתיות,132,17956,394,גבוהה,כן
05/01/2017,טורקיה,אירופה,צונאמי,גלים בגובה 12 מטר,90,3,הרס נרחב,20,39183,695,גבוהה,לא
01/04/2002,יפן,אסיה,רעידת אדמה,7.0 ריכטר,419,3,הרס נרחב,184,18938,233,קריטית,כן
26/12/2015,קנדה,צפון אמריקה,צונאמי,גלים בגובה 3 מטר,240,2,קריסת מערכות מוחלטת,27,10171,1649,קריטית,כן
18/12/2012,טורקיה,אירופה,רעידת אדמה,4.7 ריכטר,784,3,הרס נרחב,228,35869,495,קריטית,כן
17/08/2011,צ'ילה,דרום אמריקה,רעידת אדמה,5.1 ריכטר,594,4,הרס נרחב,282,32500,192,קריטית,כן
20/08/2008,מקסיקו,צפון אמריקה,רעידת אדמה,7.4 ריכטר,426,1,נזק חלקי לתשתיות,290,16201,775,קריטית,כן
24/08/2021,טורקיה,אירופה,שריפת יער,סכנה קיצונית,23821,46,נזק חלקי לתשתיות,231,23930,229,קריטית,כן
21/09/2001,מקסיקו,צפון אמריקה,רעידת אדמה,7.0 ריכטר,744,2,נזק חלקי לתשתיות,276,23106,505,קריטית,כן
27/03/2018,הודו,אסיה,צונאמי,גלים בגובה 9 מטר,146,2,הרס נרחב,137,7926,692,גבוהה,כן
04/01/2000,טורקיה,אירופה,שיטפון,מפלס מים 2.2 מטר,757,19,נזק חלקי לתשתיות,268,34136,182,קריטית,כן
19/12/2013,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 12 מטר,88,1,הרס נרחב,34,18990,1816,קריטית,כן
28/02/2003,קנדה,צפון אמריקה,רעידת אדמה,4.7 ריכטר,459,3,נזק חלקי לתשתיות,281,22037,1690,קריטית,כן
14/11/2001,קנדה,צפון אמריקה,צונאמי,גלים בגובה 10 מטר,16,1,נזק קל בלבד,23,10246,981,גבוהה,כן
21/06/2002,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 2.2 מטר,1966,14,נזק קל בלבד,25,14992,246,בינונית,לא
08/01/2000,איטליה,אירופה,שריפת יער,סכנה קיצונית,11779,36,קריסת מערכות מוחלטת,66,23106,1993,קריטית,כן
27/11/2022,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 2.6 מטר,1566,29,קריסת מערכות מוחלטת,128,31072,984,קריטית,כן
20/01/2023,טורקיה,אירופה,שריפת יער,סכנה קיצונית,16849,23,הרס נרחב,139,4279,1160,גבוהה,כן
24/12/2019,טורקיה,אירופה,שיטפון,מפלס מים 3.4 מטר,1100,15,נזק חלקי לתשתיות,109,27434,948,גבוהה,לא
23/03/2025,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 12 מטר,182,3,הרס נרחב,77,7892,42,גבוהה,כן
04/09/2012,אינדונזיה,אסיה,שיטפון,מפלס מים 3.6 מטר,670,29,נזק קל בלבד,252,35711,202,קריטית,כן
