Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
09/07/2007,יפן,אסיה,הוריקן,דרגה 5,7811,קריסת מערכות מוחלטת,213,23379,371,קריטית,כן
19/10/2019,"ארה""ב",צפון אמריקה,הוריקן,דרגה 3,12313,קריסת מערכות מוחלטת,207,182,1716,קריטית,כן
28/05/2006,קנדה,צפון אמריקה,הוריקן,דרגה 3,1289,קריסת מערכות מוחלטת,214,40549,1351,קריטית,כן
24/03/2021,הודו,אסיה,הוריקן,דרגה 3,10368,קריסת מערכות מוחלטת,196,9667,1355,קריטית,כן
16/02/2024,יפן,אסיה,הוריקן,דרגה 3,12955,קריסת מערכות מוחלטת,110,16186,973,קריטית,כן
12/08/2024,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,2318,קריסת מערכות מוחלטת,283,12075,1158,קריטית,כן
18/02/2004,קנדה,צפון אמריקה,הוריקן,דרגה 4,1458,קריסת מערכות מוחלטת,217,38460,1907,קריטית,כן
15/08/2022,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,11579,קריסת מערכות מוחלטת,13,8356,210,קריטית,כן
27/04/2013,אינדונזיה,אסיה,הוריקן,דרגה 4,5864,קריסת מערכות מוחלטת,3,33786,1699,קריטית,כן
20/07/2001,קנדה,צפון אמריקה,הוריקן,דרגה 1,13477,קריסת מערכות מוחלטת,161,24013,111,קריטית,כן
27/02/2001,איטליה,אירופה,הוריקן,דרגה 5,6991,קריסת מערכות מוחלטת,234,44316,1554,קריטית,כן
09/08/2008,טורקיה,אירופה,הוריקן,דרגה 4,7530,קריסת מערכות מוחלטת,224,37053,955,קריטית,כן
07/01/2017,איטליה,אירופה,הוריקן,דרגה 5,3594,קריסת מערכות מוחלטת,86,5250,1868,קריטית,כן
05/08/2014,יפן,אסיה,הוריקן,דרגה 3,14465,קריסת מערכות מוחלטת,0,28110,1900,קריטית,כן
26/11/2009,איטליה,אירופה,הוריקן,דרגה 5,10352,קריסת מערכות מוחלטת,150,48350,45,קריטית,כן
01/12/2018,קנדה,צפון אמריקה,הוריקן,דרגה 1,11440,קריסת מערכות מוחלטת,299,7678,1209,קריטית,כן
12/02/2021,הודו,אסיה,הוריקן,דרגה 5,7592,קריסת מערכות מוחלטת,52,29260,1923,קריטית,כן
12/10/2010,יפן,אסיה,הוריקן,דרגה 4,13643,קריסת מערכות מוחלטת,171,32931,1324,קריטית,כן
10/06/2025,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,13102,קריסת מערכות מוחלטת,259,42043,1617,קריטית,כן
03/02/2017,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,8534,קריסת מערכות מוחלטת,255,14248,1359,קריטית,כן
01/09/2017,אינדונזיה,אסיה,הוריקן,דרגה 1,4524,קריסת מערכות מוחלטת,72,44357,1535,קריטית,כן
21/09/2016,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,4864,קריסת מערכות מוחלטת,92,17147,1457,קריטית,כן
20/09/2024,יפן,אסיה,הוריקן,דרגה 4,2554,קריסת מערכות מוחלטת,227,17672,69,קריטית,כן
09/02/2017,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,11103,קריסת מערכות מוחלטת,108,13301,1897,קריטית,כן
26/08/2020,קנדה,צפון אמריקה,הוריקן,דרגה 3,13033,קריסת מערכות מוחלטת,117,44371,1851,קריטית,כן
10/01/2002,הודו,אסיה,הוריקן,דרגה 2,13677,קריסת מערכות מוחלטת,193,14338,1001,קריטית,כן
11/09/2000,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,13488,קריסת מערכות מוחלטת,45,12811,522,קריטית,כן
05/05/2010,קנדה,צפון אמריקה,הוריקן,דרגה 4,3476,קריסת מערכות מוחלטת,287,38137,1854,קריטית,כן
24/01/2018,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,4085,קריסת מערכות מוחלטת,285,45561,348,קריטית,כן
17/06/2001,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,9324,קריסת מערכות מוחלטת,30,23979,1938,קריטית,כן
18/08/2022,קנדה,צפון אמריקה,הוריקן,דרגה 2,3642,קריסת מערכות מוחלטת,240,49044,212,קריטית,כן
16/05/2010,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,14001,קריסת מערכות מוחלטת,153,44926,683,קריטית,כן
05/06/2005,הודו,אסיה,הוריקן,דרגה 5,13834,קריסת מערכות מוחלטת,104,45880,137,קריטית,כן
20/09/2017,אינדונזיה,אסיה,הוריקן,דרגה 3,9380,קריסת מערכות מוחלטת,195,33362,1424,קריטית,כן
08/08/2024,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,13216,קריסת מערכות מוחלטת,108,3258,1756,קריטית,כן
05/05/2000,טורקיה,אירופה,הוריקן,דרגה 2,10944,קריסת מערכות מוחלטת,98,3476,1298,קריטית,כן
08/05/2004,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,1198,קריסת מערכות מוחלטת,285,23379,1068,קריטית,כן
26/02/2014,קנדה,צפון אמריקה,הוריקן,דרגה 2,7438,קריסת מערכות מוחלטת,293,8760,973,קריטית,כן
15/08/2024,אינדונזיה,אסיה,הוריקן,דרגה 4,5768,קריסת מערכות מוחלטת,108,25257,1221,קריטית,כן
13/05/2010,הודו,אסיה,הוריקן,דרגה 1,1683,קריסת מערכות מוחלטת,281,24528,1316,קריטית,כן
02/04/2005,טורקיה,אירופה,הוריקן,דרגה 3,5354,קריסת מערכות מוחלטת,246,10355,625,קריטית,כן
23/12/2018,קנדה,צפון אמריקה,הוריקן,דרגה 3,5839,קריסת מערכות מוחלטת,16,3912,365,קריטית,כן
10/02/2014,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,7286,קריסת מערכות מוחלטת,53,38778,1946,קריטית,כן
03/02/2008,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,1612,קריסת מערכות מוחלטת,200,10521,1810,קריטית,כן
23/02/2025,"ארה""ב",צפון אמריקה,הוריקן,דרגה 3,7263,קריסת מערכות מוחלטת,155,33893,1311,קריטית,כן
24/10/2025,איטליה,אירופה,הוריקן,דרגה 5,2066,קריסת מערכות מוחלטת,290,34013,1979,קריטית,כן
14/05/2023,איטליה,אירופה,הוריקן,דרגה 2,7032,קריסת מערכות מוחלטת,59,21027,627,קריטית,כן
20/05/2000,אינדונזיה,אסיה,הוריקן,דרגה 2,10027,קריסת מערכות מוחלטת,86,22295,941,קריטית,כן
28/01/2003,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,11495,קריסת מערכות מוחלטת,250,15660,586,קריטית,כן
27/07/2015,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,6417,קריסת מערכות מוחלטת,210,7776,92,קריטית,כן
02/11/2014,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,8882,קריסת מערכות מוחלטת,228,36433,1094,קריטית,כן
15/06/2006,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,1778,קריסת מערכות מוחלטת,227,5239,170,קריטית,כן
02/06/2005,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,1387,קריסת מערכות מוחלטת,19,40751,924,קריטית,כן
05/10/2002,טורקיה,אירופה,הוריקן,דרגה 5,9605,קריסת מערכות מוחלטת,203,27278,273,קריטית,כן
11/09/2003,יפן,אסיה,הוריקן,דרגה 2,3987,קריסת מערכות מוחלטת,109,12030,594,קריטית,כן
09/03/2025,יפן,אסיה,הוריקן,דרגה 1,7790,קריסת מערכות מוחלטת,139,31582,670,קריטית,כן
25/12/2014,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,13849,קריסת מערכות מוחלטת,157,1222,299,קריטית,כן
14/07/2018,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,8473,קריסת מערכות מוחלטת,92,11408,95,קריטית,כן
21/01/2009,יפן,אסיה,הוריקן,דרגה 1,10806,קריסת מערכות מוחלטת,73,2189,1635,קריטית,כן
24/01/2007,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,2451,קריסת מערכות מוחלטת,31,42565,82,קריטית,כן
30/11/2019,הודו,אסיה,הוריקן,דרגה 3,11924,קריסת מערכות מוחלטת,100,18623,289,קריטית,כן
02/04/2018,איטליה,אירופה,הוריקן,דרגה 3,14521,קריסת מערכות מוחלטת,191,9163,171,קריטית,כן
09/11/2001,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,13644,קריסת מערכות מוחלטת,81,17963,1060,קריטית,כן
22/02/2011,איטליה,אירופה,הוריקן,דרגה 4,11417,קריסת מערכות מוחלטת,282,38936,316,קריטית,כן
09/11/2018,קנדה,צפון אמריקה,הוריקן,דרגה 5,1636,קריסת מערכות מוחלטת,188,13050,101,קריטית,כן
09/04/2000,טורקיה,אירופה,הוריקן,דרגה 2,4496,קריסת מערכות מוחלטת,189,21510,1830,קריטית,כן
08/02/2014,הודו,אסיה,הוריקן,דרגה 2,11423,קריסת מערכות מוחלטת,31,40870,1584,קריטית,כן
26/07/2002,איטליה,אירופה,הוריקן,דרגה 3,12879,קריסת מערכות מוחלטת,148,3253,1032,קריטית,כן
10/12/2021,איטליה,אירופה,הוריקן,דרגה 5,5383,קריסת מערכות מוחלטת,1,2050,944,קריטית,כן
28/06/2015,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,10964,קריסת מערכות מוחלטת,102,28355,442,קריטית,כן
07/01/2003,קנדה,צפון אמריקה,הוריקן,דרגה 2,3431,קריסת מערכות מוחלטת,183,8193,679,קריטית,כן
08/04/2013,קנדה,צפון אמריקה,הוריקן,דרגה 3,8872,קריסת מערכות מוחלטת,167,4959,244,קריטית,כן
25/06/2011,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,1929,קריסת מערכות מוחלטת,38,36158,934,קריטית,כן
29/05/2009,איטליה,אירופה,הוריקן,דרגה 2,13522,קריסת מערכות מוחלטת,177,41054,676,קריטית,כן
14/10/2002,איטליה,אירופה,הוריקן,דרגה 3,6982,קריסת מערכות מוחלטת,117,9463,1625,קריטית,כן
21/07/2012,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,10711,קריסת מערכות מוחלטת,286,46921,590,קריטית,כן
19/05/2001,יפן,אסיה,הוריקן,דרגה 1,1340,קריסת מערכות מוחלטת,204,44938,1077,קריטית,כן
25/06/2023,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,13385,קריסת מערכות מוחלטת,253,39478,375,קריטית,כן
28/04/2001,אינדונזיה,אסיה,הוריקן,דרגה 3,10185,קריסת מערכות מוחלטת,262,6925,752,קריטית,כן
17/04/2012,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,8775,קריסת מערכות מוחלטת,178,31736,1445,קריטית,כן
27/07/2012,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,14138,קריסת מערכות מוחלטת,129,41283,1161,קריטית,כן
26/05/2002,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,9810,קריסת מערכות מוחלטת,248,10936,1639,קריטית,כן
15/09/2015,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,9074,קריסת מערכות מוחלטת,46,44233,1467,קריטית,כן
28/01/2002,קנדה,צפון אמריקה,הוריקן,דרגה 2,9848,קריסת מערכות מוחלטת,273,36513,1940,קריטית,כן
16/02/2000,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,7397,קריסת מערכות מוחלטת,179,9918,1628,קריטית,כן
23/12/2014,איטליה,אירופה,הוריקן,דרגה 4,10782,קריסת מערכות מוחלטת,77,1976,1764,קריטית,כן
27/07/2005,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,7684,קריסת מערכות מוחלטת,196,1437,1083,קריטית,כן
28/12/2002,איטליה,אירופה,הוריקן,דרגה 1,8073,קריסת מערכות מוחלטת,140,24759,1298,קריטית,כן
01/09/2025,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,4213,קריסת מערכות מוחלטת,252,34680,1420,קריטית,כן
22/09/2003,קנדה,צפון אמריקה,הוריקן,דרגה 3,5566,קריסת מערכות מוחלטת,107,24738,931,קריטית,כן
11/03/2002,"ארה""ב",צפון אמריקה,הוריקן,דרגה 1,1235,קריסת מערכות מוחלטת,13,22054,1416,קריטית,כן
27/01/2026,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,4861,קריסת מערכות מוחלטת,148,12049,1779,קריטית,כן
14/11/2017,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,2770,קריסת מערכות מוחלטת,134,41234,1857,קריטית,כן
08/02/2003,יפן,אסיה,הוריקן,דרגה 2,1761,קריסת מערכות מוחלטת,87,37696,1183,קריטית,כן
16/11/2022,יפן,אסיה,הוריקן,דרגה 5,14248,קריסת מערכות מוחלטת,75,4136,1471,קריטית,כן
20/07/2017,אינדונזיה,אסיה,הוריקן,דרגה 4,10699,קריסת מערכות מוחלטת,41,34916,1816,קריטית,כן
06/10/2002,טורקיה,אירופה,הוריקן,דרגה 4,12720,קריסת מערכות מוחלטת,7,19233,1516,קריטית,כן
15/06/2012,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,5064,קריסת מערכות מוחלטת,7,25291,1123,קריטית,כן
24/08/2015,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,5090,קריסת מערכות מוחלטת,130,6075,962,קריטית,כן
05/09/2024,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,1468,קריסת מערכות מוחלטת,276,34219,252,קריטית,כן
31/10/2022,איטליה,אירופה,הוריקן,דרגה 4,6287,קריסת מערכות מוחלטת,250,26775,882,קריטית,כן
22/10/2016,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,2568,קריסת מערכות מוחלטת,266,28098,1247,קריטית,כן
18/05/2021,איטליה,אירופה,הוריקן,דרגה 5,1872,קריסת מערכות מוחלטת,292,47825,1027,קריטית,כן
17/01/2001,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,2163,קריסת מערכות מוחלטת,14,36959,1848,קריטית,כן
14/06/2024,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,1643,קריסת מערכות מוחלטת,259,16367,1637,קריטית,כן
18/01/2012,הודו,אסיה,הוריקן,דרגה 1,2878,קריסת מערכות מוחלטת,213,25494,140,קריטית,כן
28/09/2003,אינדונזיה,אסיה,הוריקן,דרגה 4,6415,קריסת מערכות מוחלטת,20,33392,1956,קריטית,כן
26/03/2003,יפן,אסיה,הוריקן,דרגה 3,3003,קריסת מערכות מוחלטת,150,48272,1108,קריטית,כן
26/03/2004,טורקיה,אירופה,הוריקן,דרגה 2,2660,קריסת מערכות מוחלטת,15,41139,1713,קריטית,כן
09/10/2019,אינדונזיה,אסיה,הוריקן,דרגה 3,4604,קריסת מערכות מוחלטת,173,25663,764,קריטית,כן
06/06/2016,קנדה,צפון אמריקה,הוריקן,דרגה 5,13296,קריסת מערכות מוחלטת,216,33261,1172,קריטית,כן
05/04/2020,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,5410,קריסת מערכות מוחלטת,116,37600,1522,קריטית,כן
22/03/2004,אינדונזיה,אסיה,הוריקן,דרגה 1,9693,קריסת מערכות מוחלטת,147,35694,1146,קריטית,כן
28/11/2002,קנדה,צפון אמריקה,הוריקן,דרגה 2,14336,קריסת מערכות מוחלטת,162,39083,84,קריטית,כן
20/06/2000,אינדונזיה,אסיה,הוריקן,דרגה 3,9485,קריסת מערכות מוחלטת,214,41964,472,קריטית,כן
08/09/2017,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,9073,קריסת מערכות מוחלטת,179,36556,1215,קריטית,כן
19/06/2013,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,5220,קריסת מערכות מוחלטת,3,8337,139,קריטית,כן
03/05/2001,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,14692,קריסת מערכות מוחלטת,0,13972,118,קריטית,כן
26/05/2017,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,12812,קריסת מערכות מוחלטת,139,32217,1514,קריטית,כן
21/03/2003,קנדה,צפון אמריקה,הוריקן,דרגה 4,1406,קריסת מערכות מוחלטת,178,2893,662,קריטית,כן
27/12/2022,קנדה,צפון אמריקה,הוריקן,דרגה 4,8546,קריסת מערכות מוחלטת,85,40931,783,קריטית,כן
05/01/2016,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,14577,קריסת מערכות מוחלטת,6,37317,53,קריטית,כן
20/01/2024,קנדה,צפון אמריקה,הוריקן,דרגה 3,10513,קריסת מערכות מוחלטת,166,38179,1082,קריטית,כן
26/07/2021,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,13102,קריסת מערכות מוחלטת,163,22155,1127,קריטית,כן
05/11/2006,קנדה,צפון אמריקה,הוריקן,דרגה 2,6749,קריסת מערכות מוחלטת,76,19523,1611,קריטית,כן
28/09/2022,קנדה,צפון אמריקה,הוריקן,דרגה 5,4950,קריסת מערכות מוחלטת,125,48751,1760,קריטית,כן
15/06/2021,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,10174,קריסת מערכות מוחלטת,125,17360,432,קריטית,כן
20/05/2019,אינדונזיה,אסיה,הוריקן,דרגה 5,12095,קריסת מערכות מוחלטת,63,10778,1575,קריטית,כן
20/04/2001,קנדה,צפון אמריקה,הוריקן,דרגה 5,13694,קריסת מערכות מוחלטת,80,19153,963,קריטית,כן
15/10/2001,קנדה,צפון אמריקה,הוריקן,דרגה 1,8003,קריסת מערכות מוחלטת,226,28482,1160,קריטית,כן
18/12/2006,טורקיה,אירופה,הוריקן,דרגה 5,6211,קריסת מערכות מוחלטת,119,33753,886,קריטית,כן
24/02/2007,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,13042,קריסת מערכות מוחלטת,167,24657,1757,קריטית,כן
13/04/2011,טורקיה,אירופה,הוריקן,דרגה 1,6803,קריסת מערכות מוחלטת,21,31592,1096,קריטית,כן
29/09/2021,"ארה""ב",צפון אמריקה,הוריקן,דרגה 1,8474,קריסת מערכות מוחלטת,49,12061,696,קריטית,כן
17/02/2000,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,7729,קריסת מערכות מוחלטת,297,44957,1919,קריטית,כן
25/01/2002,יפן,אסיה,הוריקן,דרגה 4,9186,קריסת מערכות מוחלטת,101,40358,345,קריטית,כן
11/05/2005,הודו,אסיה,הוריקן,דרגה 3,12280,קריסת מערכות מוחלטת,253,14225,1100,קריטית,כן
13/11/2023,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,13321,קריסת מערכות מוחלטת,153,41652,532,קריטית,כן
16/01/2019,איטליה,אירופה,הוריקן,דרגה 3,2429,קריסת מערכות מוחלטת,23,15202,650,קריטית,כן
10/03/2002,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,12047,קריסת מערכות מוחלטת,88,6455,494,קריטית,כן
26/09/2001,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,13024,קריסת מערכות מוחלטת,42,12574,968,קריטית,כן
01/11/2023,"ארה""ב",צפון אמריקה,הוריקן,דרגה 1,7927,קריסת מערכות מוחלטת,17,32048,626,קריטית,כן
28/10/2003,הודו,אסיה,הוריקן,דרגה 3,2650,קריסת מערכות מוחלטת,53,46556,1879,קריטית,כן
23/09/2014,הודו,אסיה,הוריקן,דרגה 1,8122,קריסת מערכות מוחלטת,162,20001,701,קריטית,כן
26/08/2005,קנדה,צפון אמריקה,הוריקן,דרגה 3,4356,קריסת מערכות מוחלטת,295,9686,1986,קריטית,כן
21/04/2005,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,3676,קריסת מערכות מוחלטת,18,19140,984,קריטית,כן
29/01/2007,טורקיה,אירופה,הוריקן,דרגה 2,3158,קריסת מערכות מוחלטת,16,28736,88,קריטית,כן
09/07/2015,איטליה,אירופה,הוריקן,דרגה 5,1037,קריסת מערכות מוחלטת,5,10069,1847,קריטית,כן
18/01/2018,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,2355,קריסת מערכות מוחלטת,221,16884,1910,קריטית,כן
17/01/2020,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,9864,קריסת מערכות מוחלטת,294,47769,913,קריטית,כן
14/08/2001,איטליה,אירופה,הוריקן,דרגה 2,10396,קריסת מערכות מוחלטת,237,22286,1441,קריטית,כן
24/08/2018,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,7935,קריסת מערכות מוחלטת,286,32652,1529,קריטית,כן
21/01/2016,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,7748,קריסת מערכות מוחלטת,157,2525,865,קריטית,כן
28/11/2025,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,10793,קריסת מערכות מוחלטת,177,2623,89,קריטית,כן
22/07/2021,הודו,אסיה,הוריקן,דרגה 3,9692,קריסת מערכות מוחלטת,10,10525,669,קריטית,כן
23/09/2004,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,2263,קריסת מערכות מוחלטת,78,40781,550,קריטית,כן
13/03/2015,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,9159,קריסת מערכות מוחלטת,96,44315,1925,קריטית,כן
28/01/2004,איטליה,אירופה,הוריקן,דרגה 1,5012,קריסת מערכות מוחלטת,60,38124,205,קריטית,כן
14/06/2002,קנדה,צפון אמריקה,הוריקן,דרגה 5,12012,קריסת מערכות מוחלטת,77,49000,1840,קריטית,כן
22/08/2024,אינדונזיה,אסיה,הוריקן,דרגה 4,2768,קריסת מערכות מוחלטת,294,32248,1791,קריטית,כן
10/03/2014,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,7322,קריסת מערכות מוחלטת,32,38529,1333,קריטית,כן
29/03/2006,קנדה,צפון אמריקה,הוריקן,דרגה 3,12233,קריסת מערכות מוחלטת,149,33736,524,קריטית,כן
07/04/2000,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,9151,קריסת מערכות מוחלטת,145,28955,1814,קריטית,כן
29/09/2008,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,9913,קריסת מערכות מוחלטת,63,28163,721,קריטית,כן
25/08/2018,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,1237,קריסת מערכות מוחלטת,28,40514,1150,קריטית,כן
30/10/2024,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,12204,קריסת מערכות מוחלטת,285,29914,581,קריטית,כן
12/10/2007,קנדה,צפון אמריקה,הוריקן,דרגה 2,10247,קריסת מערכות מוחלטת,2,7224,1622,קריטית,כן
24/07/2018,הודו,אסיה,הוריקן,דרגה 1,13471,קריסת מערכות מוחלטת,173,47769,836,קריטית,כן
05/04/2002,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,14850,קריסת מערכות מוחלטת,18,1389,337,קריטית,כן
03/04/2026,קנדה,צפון אמריקה,הוריקן,דרגה 4,11106,קריסת מערכות מוחלטת,291,17978,121,קריטית,כן
17/06/2004,קנדה,צפון אמריקה,הוריקן,דרגה 5,3063,קריסת מערכות מוחלטת,131,24074,615,קריטית,כן
03/09/2018,איטליה,אירופה,הוריקן,דרגה 3,13430,קריסת מערכות מוחלטת,3,10658,1131,קריטית,כן
15/03/2023,אינדונזיה,אסיה,הוריקן,דרגה 1,5201,קריסת מערכות מוחלטת,154,12000,29,קריטית,כן
06/03/2013,אינדונזיה,אסיה,הוריקן,דרגה 3,6943,קריסת מערכות מוחלטת,32,41640,297,קריטית,כן
04/03/2003,טורקיה,אירופה,הוריקן,דרגה 2,9502,קריסת מערכות מוחלטת,86,23932,1200,קריטית,כן
14/07/2005,יפן,אסיה,הוריקן,דרגה 2,2271,קריסת מערכות מוחלטת,33,41616,12,קריטית,כן
23/07/2024,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,6662,קריסת מערכות מוחלטת,168,26945,171,קריטית,כן
17/11/2025,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,7552,קריסת מערכות מוחלטת,179,41839,1457,קריטית,כן
31/12/2000,יפן,אסיה,הוריקן,דרגה 4,11302,קריסת מערכות מוחלטת,77,9371,453,קריטית,כן
23/03/2019,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,8741,קריסת מערכות מוחלטת,72,19123,1542,קריטית,כן
12/08/2014,הודו,אסיה,הוריקן,דרגה 2,6196,קריסת מערכות מוחלטת,220,41994,1789,קריטית,כן
25/11/2007,אינדונזיה,אסיה,הוריקן,דרגה 3,12818,קריסת מערכות מוחלטת,122,42396,1011,קריטית,כן
23/11/2016,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,13552,קריסת מערכות מוחלטת,39,45716,641,קריטית,כן
11/09/2013,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,1773,קריסת מערכות מוחלטת,254,19355,230,קריטית,כן
05/05/2016,הודו,אסיה,הוריקן,דרגה 4,13922,קריסת מערכות מוחלטת,62,31722,453,קריטית,כן
28/10/2008,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,9924,קריסת מערכות מוחלטת,165,5664,264,קריטית,כן
05/01/2023,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,4872,קריסת מערכות מוחלטת,277,28569,1488,קריטית,כן
28/07/2020,הודו,אסיה,הוריקן,דרגה 5,2148,קריסת מערכות מוחלטת,290,31401,1892,קריטית,כן
31/03/2021,יפן,אסיה,הוריקן,דרגה 1,3595,קריסת מערכות מוחלטת,148,8815,1628,קריטית,כן
22/08/2010,יפן,אסיה,הוריקן,דרגה 5,13749,קריסת מערכות מוחלטת,220,8605,1261,קריטית,כן
20/07/2002,איטליה,אירופה,הוריקן,דרגה 2,9267,קריסת מערכות מוחלטת,78,13214,1021,קריטית,כן
21/07/2005,אינדונזיה,אסיה,הוריקן,דרגה 3,5504,קריסת מערכות מוחלטת,173,8966,336,קריטית,כן
31/07/2004,אינדונזיה,אסיה,הוריקן,דרגה 1,5712,קריסת מערכות מוחלטת,123,24692,648,קריטית,כן
15/02/2025,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,14686,קריסת מערכות מוחלטת,267,13888,1270,קריטית,כן
15/08/2006,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,13391,קריסת מערכות מוחלטת,55,25553,942,קריטית,כן
11/04/2022,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,4053,קריסת מערכות מוחלטת,71,4027,1997,קריטית,כן
16/03/2026,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,5244,קריסת מערכות מוחלטת,190,13131,85,קריטית,כן
10/04/2014,קנדה,צפון אמריקה,הוריקן,דרגה 4,2207,קריסת מערכות מוחלטת,63,22799,1775,קריטית,כן
02/11/2000,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,7012,קריסת מערכות מוחלטת,232,27559,1423,קריטית,כן
06/08/2011,יפן,אסיה,הוריקן,דרגה 5,8467,קריסת מערכות מוחלטת,18,5050,1175,קריטית,כן
18/02/2022,הודו,אסיה,הוריקן,דרגה 1,3170,קריסת מערכות מוחלטת,54,17346,937,קריטית,כן
16/01/2008,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,7937,קריסת מערכות מוחלטת,252,45995,694,קריטית,כן
13/03/2018,אינדונזיה,אסיה,הוריקן,דרגה 4,5306,קריסת מערכות מוחלטת,130,16195,244,קריטית,כן
14/01/2022,יפן,אסיה,הוריקן,דרגה 4,13276,קריסת מערכות מוחלטת,266,36906,579,קריטית,כן
18/05/2009,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,2916,קריסת מערכות מוחלטת,208,6546,1402,קריטית,כן
21/05/2000,טורקיה,אירופה,הוריקן,דרגה 2,2705,קריסת מערכות מוחלטת,105,34061,1841,קריטית,כן
26/04/2025,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,8894,קריסת מערכות מוחלטת,61,19332,1249,קריטית,כן
